"county.name","median.hhinc"
"Spencer, IN",59651
"Starke, IN",46826
"Steuben, IN",56923
"Sullivan, IN",49679
"Switzerland, IN",54058
"Tippecanoe, IN",55689
"Tipton, IN",57893
"Union, IN",47634
"Vanderburgh, IN",56784
"Vermillion, IN",52334
"Vigo, IN",50326
"Wabash, IN",50887
"Warren, IN",55594
"Warrick, IN",75910
"Washington, IN",47620
"Wayne, IN",53013
"Wells, IN",57530
"White, IN",53008
"Whitley, IN",60387
"Adair, IA",52090
"Adams, IA",58623
"Allamakee, IA",51852
"Appanoose, IA",45946
"Audubon, IA",54515
"Benton, IA",62662
"Black Hawk, IA",54574
"Boone, IA",60221
"Bremer, IA",64508
"Buchanan, IA",60199
"Buena Vista, IA",53822
"Butler, IA",55932
"Calhoun, IA",51430
"Carroll, IA",57795
"Cass, IA",50654
"Cedar, IA",59362
"Cerro Gordo, IA",57180
"Cherokee, IA",52637
"Chickasaw, IA",52027
"Clarke, IA",53623
"Clay, IA",52379
"Clayton, IA",51837
"Clinton, IA",54487
"Crawford, IA",50883
"Dallas, IA",83638
"Davis, IA",57067
"Decatur, IA",43573
"Delaware, IA",55299
"Des Moines, IA",54651
"Dickinson, IA",60970
"Dubuque, IA",60764
"Emmet, IA",55463
"Fayette, IA",50861
"Floyd, IA",48939
"Franklin, IA",52321
"Fremont, IA",54654
"Greene, IA",53419
"Grundy, IA",63540
"Guthrie, IA",61224
"Hamilton, IA",58602
"Hancock, IA",54356
"Hardin, IA",54907
"Harrison, IA",57403
"Henry, IA",56710
"Howard, IA",52051
"Humboldt, IA",56120
"Ida, IA",52192
"Iowa, IA",64725
"Jackson, IA",53540
"Jasper, IA",57044
"Jefferson, IA",50794
"Johnson, IA",65967
"Jones, IA",55258
"Keokuk, IA",49921
"Kossuth, IA",59778
"Lee, IA",50742
"Linn, IA",66795
"Louisa, IA",52772
"Lucas, IA",49173
"Lyon, IA",56602
"Madison, IA",68331
"Mahaska, IA",54039
"Marion, IA",61709
"Marshall, IA",56391
"Mills, IA",66942
"Mitchell, IA",55070
"Monona, IA",47154
"Monroe, IA",47669
"Montgomery, IA",48554
"Muscatine, IA",61051
"O'Brien, IA",56266
"Osceola, IA",51625
"Page, IA",51595
"Palo Alto, IA",49608
"Plymouth, IA",69544
"Pocahontas, IA",49711
"Polk, IA",71620
"Pottawattamie, IA",59818
"Poweshiek, IA",60607
"Ringgold, IA",51309
"Sac, IA",51170
"Scott, IA",66062
"Shelby, IA",52548
"Sioux, IA",58416
"Story, IA",61415
"Tama, IA",55204
"Taylor, IA",47747
"Union, IA",47719
"Van Buren, IA",49682
"Wapello, IA",52266
"Warren, IA",74011
"Washington, IA",56349
"Wayne, IA",42100
"Webster, IA",52736
"Winnebago, IA",48322
"Winneshiek, IA",61901
"Woodbury, IA",55061
"Worth, IA",62982
"Wright, IA",53278
"Allen, KS",46743
"Anderson, KS",48873
"Atchison, KS",54418
"Barber, KS",49566
"Barton, KS",51419
"Bourbon, KS",45627
"Brown, KS",47058
"Butler, KS",70184
"Chase, KS",49764
"Chautauqua, KS",48827
"Cherokee, KS",45876
"Cheyenne, KS",41275
"Clark, KS",57573
"Clay, KS",54345
"Cloud, KS",42032
"Coffey, KS",55114
"Comanche, KS",51662
"Cowley, KS",51072
"Crawford, KS",45436
"Decatur, KS",41476
"Dickinson, KS",52242
"Doniphan, KS",51085
"Douglas, KS",61641
"Edwards, KS",53076
"Elk, KS",44242
"Ellis, KS",55489
"Ellsworth, KS",54109
"Finney, KS",60931
"Ford, KS",53384
"Franklin, KS",55716
"Geary, KS",53676
"Gove, KS",48153
"Graham, KS",50956
"Grant, KS",66248
"Gray, KS",58712
"Greeley, KS",72209
"Greenwood, KS",46103
"Hamilton, KS",42476
"Harper, KS",48776
"Harvey, KS",58129
"Haskell, KS",64348
"Hodgeman, KS",49249
"Jackson, KS",59065
"Jefferson, KS",63273
"Jewell, KS",48392
"Johnson, KS",94590
